year,month,region,num_visits,num_unique_visitors
2019,7,ALL,1136890316,47822182
2019,7,ALL_US,1136890316,47822182
2019,7,ak,1693636,110114
2019,7,al,23521262,1168244
2019,7,ar,12025753,613483
2019,7,as,262,135
2019,7,az,20759847,1095522
2019,7,ca,125955884,5710024
2019,7,co,19573644,1138003
2019,7,ct,9248073,707404
2019,7,dc,4048975,539272
2019,7,de,3268786,274414
2019,7,fl,92264554,4308647
2019,7,ga,47313564,2429071
2019,7,gu,18266,2484
2019,7,hi,6649798,248680
2019,7,ia,10883754,639543
2019,7,id,4495326,298870
2019,7,il,44871050,2867237
2019,7,in,21367419,1318350
2019,7,ks,10648224,618997
2019,7,ky,14696012,982376
2019,7,la,17698037,946466
2019,7,ma,18028550,1317241
2019,7,md,18991027,1369141
2019,7,me,3171164,238840
2019,7,mi,29707672,1827073
2019,7,mn,16549955,1066858
2019,7,mo,24676243,1351472
2019,7,mp,72,22
2019,7,ms,12129093,653119
2019,7,mt,2624528,181624
2019,7,nc,38614253,2098003
2019,7,nd,2353120,150497
2019,7,ne,7215581,430431
2019,7,nh,3672921,294159
2019,7,nj,31823225,1998541
2019,7,nm,4890161,389257
2019,7,nv,15443127,808285
2019,7,ny,62218508,3823388
2019,7,oh,37226874,2320308
2019,7,ok,16202008,802403
2019,7,or,11764948,708220
2019,7,pa,35114606,2544633
2019,7,pr,1226290,156018
2019,7,ri,3027586,268581
2019,7,sc,21237230,1218357
2019,7,sd,2725223,184694
2019,7,tn,27861780,1537043
2019,7,tx,117481334,5158248
2019,7,ut,9217977,559700
2019,7,va,26215661,1695622
2019,7,vi,6833,1306
2019,7,vt,1153916,108270
2019,7,wa,20130509,1214157
2019,7,wi,16982910,1075451
2019,7,wv,4494967,369557
2019,7,wy,1708338,159451
